	name	party	state
S057	Leahy (D-VT)	D	VT
S118	Hatch (R-UT)	R	UT
S127	Baucus (D-MT)	D	MT
S131	Levin (D-MI)	D	MI
S136	Cochran (R-MS)	R	MS
S153	Grassley (R-IA)	R	IA
S166	Lautenberg (D-NJ)	D	NJ
S172	Harkin (D-IA)	D	IA
S173	Kerry (D-MA)	D	MA
S174	McConnell (R-KY)	R	KY
S176	Rockefeller (D-WV)	D	WV
S182	Mikulski (D-MD)	D	MD
S184	Shelby (R-AL)	R	AL
S197	McCain (R-AZ)	R	AZ
S198	Reid (D-NV)	D	NV
S212	Coats (R-IN)	R	IN
S221	Feinstein (D-CA)	D	CA
S223	Boxer (D-CA)	D	CA
S229	Murray (D-WA)	D	WA
S236	Inhofe (R-OK)	R	OK
S247	Wyden (D-OR)	D	OR
S252	Collins (R-ME)	R	ME
S253	Durbin (D-IL)	D	IL
S254	Enzi (R-WY)	R	WY
S257	Johnson (D-SD)	D	SD
S258	Landrieu (D-LA)	D	LA
S259	Reed (D-RI)	D	RI
S260	Roberts (R-KS)	R	KS
S261	Sessions (R-AL)	R	AL
S266	Crapo (R-ID)	R	ID
S270	Schumer (D-NY)	D	NY
S275	Cantwell (D-WA)	D	WA
S277	Carper (D-DE)	D	DE
S282	Nelson (D-FL)	D	FL
S284	Stabenow (D-MI)	D	MI
S287	Cornyn (R-TX)	R	TX
S288	Murkowski (R-AK)	R	AK
S289	Alexander (R-TN)	R	TN
S290	Chambliss (R-GA)	R	GA
S293	Graham (R-SC)	R	SC
S295	Pryor (D-AR)	D	AR
S299	Vitter (R-LA)	R	LA
S300	Burr (R-NC)	R	NC
S301	Coburn (R-OK)	R	OK
S303	Thune (R-SD)	R	SD
S305	Isakson (R-GA)	R	GA
S306	Menendez (D-NJ)	D	NJ
S307	Brown (D-OH)	D	OH
S308	Cardin (D-MD)	D	MD
S309	Casey (D-PA)	D	PA
S310	Corker (R-TN)	R	TN
S311	Klobuchar (D-MN)	D	MN
S312	McCaskill (D-MO)	D	MO
S313	Sanders (I-VT)	I	VT
S314	Tester (D-MT)	D	MT
S316	Whitehouse (D-RI)	D	RI
S317	Barrasso (R-WY)	R	WY
S318	Wicker (R-MS)	R	MS
S319	Begich (D-AK)	D	AK
S320	Hagan (D-NC)	D	NC
S321	Johanns (R-NE)	R	NE
S322	Merkley (D-OR)	D	OR
S323	Risch (R-ID)	R	ID
S324	Shaheen (D-NH)	D	NH
S325	Udall (D-CO)	D	CO
S326	Udall (D-NM)	D	NM
S327	Warner (D-VA)	D	VA
S330	Bennet (D-CO)	D	CO
S331	Gillibrand (D-NY)	D	NY
S332	Franken (D-MN)	D	MN
S337	Coons (D-DE)	D	DE
S338	Manchin (D-WV)	D	WV
S339	Kirk (R-IL)	R	IL
S340	Ayotte (R-NH)	R	NH
S341	Blumenthal (D-CT)	D	CT
S342	Blunt (R-MO)	R	MO
S343	Boozman (R-AR)	R	AR
S344	Hoeven (R-ND)	R	ND
S345	Johnson (R-WI)	R	WI
S346	Lee (R-UT)	R	UT
S347	Moran (R-KS)	R	KS
S348	Paul (R-KY)	R	KY
S349	Portman (R-OH)	R	OH
S350	Rubio (R-FL)	R	FL
S351	Toomey (R-PA)	R	PA
S352	Heller (R-NV)	R	NV
S353	Schatz (D-HI)	D	HI
S354	Baldwin (D-WI)	D	WI
S355	Cruz (R-TX)	R	TX
S356	Donnelly (D-IN)	D	IN
S357	Fischer (R-NE)	R	NE
S358	Flake (R-AZ)	R	AZ
S359	Heinrich (D-NM)	D	NM
S360	Heitkamp (D-ND)	D	ND
S361	Hirono (D-HI)	D	HI
S362	Kaine (D-VA)	D	VA
S363	King (I-ME)	I	ME
S364	Murphy (D-CT)	D	CT
S365	Scott (R-SC)	R	SC
S366	Warren (D-MA)	D	MA
S367	Cowan (D-MA)	D	MA
S368	Chiesa (R-NJ)	R	NJ
S369	Markey (D-MA)	D	MA
S370	Booker (D-NJ)	D	NJ
S371	Walsh (D-MT)	D	MT
